ICAO Code;ADG
A1;No Value
A10;No Value
A10*;II
A109;No Value
A119;No Value
A124;VI
A129;No Value
A139;No Value
A140;III
A148;No Value
A20;No Value
A225;No Value
A270;No Value
A2RT;No Value
A3;No Value
A306;IV
A30B;IV
A310;IV
A318;III
A319;III
A320;III
A321;III
A332;V
A333;V
A342;V
A343;V
A345;V
A346;V
A358;V
A359;V
A37;I
A388;VI
A38F;VI
A3ST;IV
A4;No Value
A4*;I
A50;No Value
A500;I
A504;No Value
A6;No Value
A660;No Value
A7;No Value
A700;I
A743;No Value
A748;No Value
A9;No Value
AA1;I
AA5;I
AB11;I
AB15;I
AB18;I
AB95;I
AC11;No Value
AC50;II
AC52;II
AC56;II
AC68;II
AC6L;Greater than 262' WS
AC72;II
AC80;I
AC90;I
AC95;II
ACAR;No Value
ACR2;I
ACRO;I
ACSR;No Value
ADVE;No Value
AE45;I
AEST;I
AIGT;No Value
AIRD;I
AJ27;III
AJET;I
ALH;No Value
ALIZ;No Value
ALO2;No Value
ALO3;No Value
ALPI;No Value
AM3;I
AMX;No Value
AN12;IV
AN2;No Value
AN22;No Value
AN24;No Value
AN26;III
AN28;No Value
AN3;No Value
AN30;No Value
AN32;No Value
AN38;No Value
AN70;No Value
AN72;III
AN8;No Value
ANSN;No Value
ANST;No Value
AR11;I
AR15;I
AR79;No Value
ARON;No Value
ARVA;II
AS02;No Value
AS2T;No Value
AS32;No Value
AS3B;No Value
AS50;No Value
AS55;No Value
AS65;No Value
ASTR;II
AT3;No Value
AT3P;I
AT3T;I
AT43;III
AT44;III
AT45;III
AT5T;II
AT6T;II
AT72;III
AT8T;II
ATLA;IV
ATP;No Value
AU11;No Value
AUJ2;No Value
AUJ4;No Value
AUS3;No Value
AUS4;No Value
AUS5;No Value
AUS6;No Value
AUS7;No Value
AUS9;No Value
AVIN;No Value
B06;No Value
B06T;No Value
B1;No Value
B1*;IV
B103;No Value
B105;No Value
B14A;No Value
B14C;No Value
B17;No Value
B18T;I
B190;II
B2;V
B209;No Value
B212;No Value
B214;No Value
B222;No Value
B23;No Value
B230;No Value
B24;No Value
B25;No Value
B26;No Value
